gen,name,GO,description,meta
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0005759,mitochondrial matrix,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0045010,actin nucleation,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0009407,toxin catabolic process,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0010389,regulation of G2/M transition of mitotic cell cycle,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0042742,defense response to bacterium,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0051225,spindle assembly,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0006342,chromatin silencing,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0005829,cytosol,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0005874,microtubule,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0004601,peroxidase activity,F
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0008017,microtubule binding,F
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0006306,DNA methylation,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0042023,DNA endoreduplication,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0009570,chloroplast stroma,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0009579,thylakoid,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0046686,response to cadmium ion,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0016572,histone phosphorylation,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0009909,regulation of flower development,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0006270,DNA replication initiation,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0005886,plasma membrane,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0000280,nuclear division,P
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0005634,nucleus,C
Locus_5921_Transcript_1_Length_1199_genewise_newlength_1195__CDS__194__865,thioredoxin-dependent peroxidase 1,GO:0006979,response to oxidative stress,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0009069,serine family amino acid metabolic process,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0010498,proteasomal protein catabolic process,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0007010,cytoskeleton organization,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0004794,L-threonine ammonia-lyase activity,F
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0006566,threonine metabolic process,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0009097,isoleucine biosynthetic process,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0006094,gluconeogenesis,P
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0009507,chloroplast,C
Locus_23900_Transcript_1_Length_2260_genewise_newlength_2260__CDS__368__1957,threonine dehydratase,GO:0030170,pyridoxal phosphate binding,F
Locus_3088_Transcript_1_Length_1853_genewise_newlength_1853__CDS__137__1693,threonine synthase,GO:0009088,threonine biosynthetic process,P
Locus_3088_Transcript_1_Length_1853_genewise_newlength_1853__CDS__137__1693,threonine synthase,GO:0004795,threonine synthase activity,F
Locus_3088_Transcript_1_Length_1853_genewise_newlength_1853__CDS__137__1693,threonine synthase,GO:0009570,chloroplast stroma,C
Locus_3088_Transcript_1_Length_1853_genewise_newlength_1853__CDS__137__1693,threonine synthase,GO:0005829,cytosol,C
Locus_3088_Transcript_1_Length_1853_genewise_newlength_1853__CDS__137__1693,threonine synthase,GO:0030170,pyridoxal phosphate binding,F
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0004829,threonine-tRNA ligase activity,F
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0006435,threonyl-tRNA aminoacylation,P
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0009793,embryo development ending in seed dormancy,P
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0005618,cell wall,C
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0005829,cytosol,C
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0009570,chloroplast stroma,C
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0005886,plasma membrane,C
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0005739,mitochondrion,C
Locus_3898_Transcript_8_Length_2818_genewise_newlength_2818__CDS__856__2694,threonyl-trna synthetase,GO:0005524,ATP binding,F
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0043247,telomere maintenance in response to DNA damage,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010048,vernalization response,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0050826,response to freezing,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010332,response to gamma radiation,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009793,embryo development ending in seed dormancy,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0006406,mRNA export from nucleus,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0006310,DNA recombination,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0051604,protein maturation,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009086,methionine biosynthetic process,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010388,cullin deneddylation,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009640,photomorphogenesis,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0005829,cytosol,C
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009560,embryo sac egg cell differentiation,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0019915,lipid storage,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010182,sugar mediated signaling pathway,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009933,meristem structural organization,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0016567,protein ubiquitination,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009845,seed germination,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010074,maintenance of meristem identity,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0007126,meiosis,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0032204,regulation of telomere maintenance,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010228,vegetative to reproductive phase transition of meristem,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0009909,regulation of flower development,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0005634,nucleus,C
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0010162,seed dormancy process,P
Locus_6179_Transcript_1_Length_1603_genewise_newlength_1603__CDS__248__1384,thump domain-containing protein,GO:0003723,RNA binding,F
Locus_5012_Transcript_5_Length_1478_genewise_newlength_1212__CDS__87__944,tic22-like family protein,GO:0009706,chloroplast inner membrane,C
Locus_1139_Transcript_3_Length_1228_genewise_newlength_1228__CDS__119__970,tip41-like protein,GO:0005829,cytosol,C
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0000139,Golgi membrane,C
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0005515,protein binding,F
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0002239,response to oomycetes,P
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0042742,defense response to bacterium,P
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0005789,endoplasmic reticulum membrane,C
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0007165,signal transduction,P
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0009817,"defense response to fungus, incompatible interaction",P
Locus_361_Transcript_21_Length_2025_genewise_newlength_2025__CDS__211__1062,tir-nbs-lrr class disease resistance protein,GO:0005886,plasma membrane,C
Locus_12398_Transcript_10_Length_591_genewise_newlength_591__CDS__371__532,tir-nbs-lrr class disease resistance protein,GO:0042742,defense response to bacterium,P
Locus_12398_Transcript_10_Length_591_genewise_newlength_591__CDS__371__532,tir-nbs-lrr class disease resistance protein,GO:0048046,apoplast,C
Locus_12398_Transcript_10_Length_591_genewise_newlength_591__CDS__371__532,tir-nbs-lrr class disease resistance protein,GO:0050789,regulation of biological process,P
Locus_8687_Transcript_17_Length_3015_genewise_newlength_2781__CDS__887__2335,tpx2 (targeting protein for xklp2) protein family,GO:0009506,plasmodesma,C
Locus_8687_Transcript_17_Length_3015_genewise_newlength_2781__CDS__887__2335,tpx2 (targeting protein for xklp2) protein family,GO:0005634,nucleus,C
Locus_8687_Transcript_17_Length_3015_genewise_newlength_2781__CDS__887__2335,tpx2 (targeting protein for xklp2) protein family,GO:0009507,chloroplast,C
Locus_8687_Transcript_17_Length_3015_genewise_newlength_2781__CDS__887__2335,tpx2 (targeting protein for xklp2) protein family,GO:0005886,plasma membrane,C
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0016126,sterol biosynthetic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0043085,positive regulation of catalytic activity,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0045492,xylan biosynthetic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0019252,starch biosynthetic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0010106,cellular response to iron ion starvation,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0052546,cell wall pectin metabolic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0000023,maltose metabolic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0015706,nitrate transport,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0006826,iron ion transport,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0010015,root morphogenesis,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0010413,glucuronoxylan metabolic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0010167,response to nitrate,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0009736,cytokinin mediated signaling pathway,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0052541,plant-type cell wall cellulose metabolic process,P
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0005634,nucleus,C
Locus_1843_Transcript_10_Length_2458_genewise_newlength_2458__CDS__1376__2131,tpx2 (targeting protein for xklp2) protein family,GO:0010031,circumnutation,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0009630,gravitropism,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0009615,response to virus,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0007127,meiosis I,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0043424,protein histidine kinase binding,F
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0006007,glucose catabolic process,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0005829,cytosol,C
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0004843,ubiquitin-specific protease activity,F
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0007059,chromosome segregation,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0009790,embryo development,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0016043,cellular component organization,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0050794,regulation of cellular process,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0009506,plasmodesma,C
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0005634,nucleus,C
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0048316,seed development,P
Locus_1006_Transcript_2_Length_4135_genewise_newlength_4052__CDS__139__3444,traf-like family protein,GO:0006511,ubiquitin-dependent protein catabolic process,P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0006352,"DNA-dependent transcription, initiation",P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0030422,production of siRNA involved in RNA interference,P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0000394,"RNA splicing, via endonucleolytic cleavage and ligation",P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0006306,DNA methylation,P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0005634,nucleus,C
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0006357,regulation of transcription from RNA polymerase II promoter,P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0032784,"regulation of DNA-dependent transcription, elongation",P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0006412,translation,P
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0003735,structural constituent of ribosome,F
Locus_8633_Transcript_10_Length_4940_genewise_newlength_4940__CDS__1609__4686,transcription elongation factor spt5,GO:0005840,ribosome,C
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009653,anatomical structure morphogenesis,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009414,response to water deprivation,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:1901701,cellular response to oxygen-containing compound,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009718,anthocyanin-containing compound biosynthetic process,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0010026,trichome differentiation,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009755,hormone-mediated signaling pathway,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009651,response to salt stress,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009753,response to jasmonic acid stimulus,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0001708,cell fate specification,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009962,regulation of flavonoid biosynthetic process,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0016043,cellular component organization,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0044767,single-organism developmental process,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0009737,response to abscisic acid stimulus,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:2000029,regulation of proanthocyanidin biosynthetic process,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0031347,regulation of defense response,P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0045893,"positive regulation of transcription, DNA-dependent",P
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0005634,nucleus,C
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0043425,bHLH transcription factor binding,F
Locus_3864_Transcript_7_Length_1782_genewise_newlength_1782__CDS__3__1559,transcription factor bhlh27,GO:0046983,protein dimerization activity,F
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009965,leaf morphogenesis,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0016570,histone modification,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009694,jasmonic acid metabolic process,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009753,response to jasmonic acid stimulus,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009506,plasmodesma,C
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0048449,floral organ formation,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009704,de-etiolation,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0010047,fruit dehiscence,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009737,response to abscisic acid stimulus,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0010017,red or far-red light signaling pathway,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009740,gibberellic acid mediated signaling pathway,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0010091,trichome branching,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0042802,identical protein binding,F
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009957,epidermal cell fate specification,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0003677,DNA binding,F
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009909,regulation of flower development,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0010154,fruit development,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009742,brassinosteroid mediated signaling pathway,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0005634,nucleus,C
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0031539,positive regulation of anthocyanin metabolic process,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0080147,root hair cell development,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009611,response to wounding,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0009567,double fertilization forming a zygote and endosperm,P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0006355,"regulation of transcription, DNA-dependent",P
Locus_639_Transcript_1_Length_2240_genewise_newlength_2235__CDS__670__2097,transcription factor bhlh35,GO:0046983,protein dimerization activity,F
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009299,mRNA transcription,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009827,plant-type cell wall modification,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009740,gibberellic acid mediated signaling pathway,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009062,fatty acid catabolic process,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009911,positive regulation of flower development,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0006355,"regulation of transcription, DNA-dependent",P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0048446,petal morphogenesis,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009753,response to jasmonic acid stimulus,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0003677,DNA binding,F
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0003700,sequence-specific DNA binding transcription factor activity,F
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009735,response to cytokinin stimulus,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0005634,nucleus,C
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0048481,ovule development,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009860,pollen tube growth,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0043425,bHLH transcription factor binding,F
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0048443,stamen development,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0009694,jasmonic acid metabolic process,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0010162,seed dormancy process,P
Locus_7682_Transcript_1_Length_2343_genewise_newlength_2343__CDS__856__1992,transcription factor bhlh49,GO:0046983,protein dimerization activity,F
